Step	Training Loss
25	2.962300
50	3.838400
75	3.049100
100	3.626900
125	2.793800
150	3.105000
175	2.407000
200	2.246800
225	2.055100
250	1.717200
275	1.887300
300	1.595000
325	1.758600
350	1.500300
375	1.776800
400	1.451800
425	1.751500
450	1.427600
475	1.696500
500	1.401300
525	1.760500
550	1.436100
575	1.742000
600	1.432700
625	1.732900
650	1.422900
675	1.693100
700	1.412200
725	1.769400
750	1.465500
775	1.693600
800	1.424800
825	1.755100
850	1.362200
875	1.758000
900	1.424000
925	1.679700
950	1.390000
975	1.708700
1000	1.439900
1025	1.678000
1050	1.377500
1075	1.723900
1100	1.413800
1125	1.670000
1150	1.402800
1175	1.734300
1200	1.382800
1225	1.731600
1250	1.352000
1275	1.699600
1300	1.369800
1325	1.693700
1350	1.387600
1375	1.671300
1400	1.313900
1425	1.734000
1450	1.428300
1475	1.711500
1500	1.347500
1525	1.672600
1550	1.402800
1575	1.668900
1600	1.509700
1625	1.746200
1650	1.379400
1675	1.663100
1700	1.339100
1725	1.687800
1750	1.430200
1775	1.700700
1800	1.269800
1825	1.699300
1850	1.408700
1875	1.694800
1900	1.381100
1925	1.711200
1950	1.388700
1975	1.710400
2000	1.265000
2025	1.642200
2050	1.352700
2075	1.713600
2100	1.405300
2125	1.682700
2150	1.343900
2175	1.678400
2200	1.324000
2225	1.679300
2250	1.402500
2275	1.680200
2300	1.413800
2325	1.640200
2350	1.433100
2375	1.672300
2400	1.332500
2425	1.700200
2450	1.362200
2475	1.649400
2500	1.331500
2525	1.639800
2550	1.334800
2575	1.678200
2600	1.408800
2625	1.731300
2650	1.332700
2675	1.722800
2700	1.372500
2725	1.743200
2750	1.413500
2775	1.686500
2800	1.330200
2825	1.708600
2850	1.332200
2875	1.704300
2900	1.338600
2925	1.640600
2950	1.362600
2975	1.701400
3000	1.346900
3025	1.660600
3050	1.321100
3075	1.649400
3100	1.330000
3125	1.726600
3150	1.316900
3175	1.653200
3200	1.335300
3225	1.676200
3250	1.337500
3275	1.694000
3300	1.341400
3325	1.696700
3350	1.394000
3375	1.665800
3400	1.293200
3425	1.651800
3450	1.330600
3475	1.695300
3500	1.349800
3525	1.665300
3550	1.378300
3575	1.662400
3600	1.327600
3625	1.726400
3650	1.332200
3675	1.706300
3700	1.374400
3725	1.649700
3750	1.297100
3775	1.672100
3800	1.304300
3825	1.706200
3850	1.339700
3875	1.646200
3900	1.322800
3925	1.634300
3950	1.328300
3975	1.627100
4000	1.368400
4025	1.677500
4050	1.324600
4075	1.706300
4100	1.329700
4125	1.650600
4150	1.358400
4175	1.716600
4200	1.301500
4225	1.650600
4250	1.376200
4275	1.635600
4300	1.332000
4325	1.665300
4350	1.281600
4375	1.633200
4400	1.345000
4425	1.637300
4450	1.411200
4475	1.662700
4500	1.346400
4525	1.684200
4550	1.382300
4575	1.649700
4600	1.290100
4625	1.672700
4650	1.299700
4675	1.637200
4700	1.364700
4725	1.649400
4750	1.311000
4775	1.643200
4800	1.312900
4825	1.651800
4850	1.359700
4875	1.638900
4900	1.296100
4925	1.722600
4950	1.354900
4975	1.617900
5000	1.294900
5025	1.681000
5050	1.359500
5075	1.632100
5100	1.330300
5125	1.682400
5150	1.355200
5175	1.716300
5200	1.363700
5225	1.695600
5250	1.370200
5275	1.660100
5300	1.307200
5325	1.658400
5350	1.294800
5375	1.668000
5400	1.304400
5425	1.643200
5450	1.373000
5475	1.634400
5500	1.305700
5525	1.645800
5550	1.292300
5575	1.665000
5600	1.276100
5625	1.703900
5650	1.378500
5675	1.661100
5700	1.364000
5725	1.608800
5750	1.242600
5775	1.650600
5800	1.320400
5825	1.668500
5850	1.376500
5875	1.710900
5900	1.310700
5925	1.661200
5950	1.339700
5975	1.665500
6000	1.319100
6025	1.668600
6050	1.334800
6075	1.711400
6100	1.307900
6125	1.668500
6150	1.390300
6175	1.644500
6200	1.251500
6225	1.616000
6250	1.290000
6275	1.629400
6300	1.313900
6325	1.675500
6350	1.369800
6375	1.678600
6400	1.377300
6425	1.696700
6450	1.339200
6475	1.672800
6500	1.303900
6525	1.676300
6550	1.275700
6575	1.707500
6600	1.375900
6625	1.675200
6650	1.397200
6675	1.653900
6700	1.357900
6725	1.663500
6750	1.306900
6775	1.617100
6800	1.307600
6825	1.617700
6850	1.334900
6875	1.630400
6900	1.285200
6925	1.631800
6950	1.339600
6975	1.639800
7000	1.338900
7025	1.716100
7050	1.287900
7075	1.662300
7100	1.301500
7125	1.630200
7150	1.330700
7175	1.667400
7200	1.343700
7225	1.686000
7250	1.381200
7275	1.630500
7300	1.337900
7325	1.630300
7350	1.323800
7375	1.641700
7400	1.317100
7425	1.637700
7450	1.323400
7475	1.657600
7500	1.323400
7525	1.657700
7550	1.272300
7575	1.648000
7600	1.285800
7625	1.645700
7650	1.261900
7675	1.650700
7700	1.327000
7725	1.644200
7750	1.314600
7775	1.663500
7800	1.341400
7825	1.639200
7850	1.286100
7875	1.641000
7900	1.286400
7925	1.655200
7950	1.274400
7975	1.638200
8000	1.289200
8025	1.612600
8050	1.331600
8075	1.669100
8100	1.355200
8125	1.645400
8150	1.337200
8175	1.682700
8200	1.323500
8225	1.625000
8250	1.340600
8275	1.691800
8300	1.357600
8325	1.708300
8350	1.375200
8375	1.596900
8400	1.320600
8425	1.650600
8450	1.324600
8475	1.708200
8500	1.331600
8525	1.671100
8550	1.310800
8575	1.679700
8600	1.278800
8625	1.684200
8650	1.383400
8675	1.621000
8700	1.330500
8725	1.616200
8750	1.368300
8775	1.662200
8800	1.394300
8825	1.592600
8850	1.298900
8875	1.694500
8900	1.401100
8925	1.664700
8950	1.304600
8975	1.637200
9000	1.237800
9025	1.645500
9050	1.338900
9075	1.687300
9100	1.319100
9125	1.618100
9150	1.279400
9175	1.609300
9200	1.342100
9225	1.662000
9250	1.362600
9275	1.609100
9300	1.356700
9325	1.613300
9350	1.243700
9375	1.633100
9400	1.310000
9425	1.614000
9450	1.353700
9475	1.606900
9500	1.336900
9525	1.655600
9550	1.322900
9575	1.680800
9600	1.358400
9625	1.663000
9650	1.324600
9675	1.639700
9700	1.382000
9725	1.644200
9750	1.245200
9775	1.683700
9800	1.264300
9825	1.672100
9850	1.341400
9875	1.605000
9900	1.273300
9925	1.643700
9950	1.356200
9975	1.657100
10000	1.298300
10025	1.628800
10050	1.334900
10075	1.705000
10100	1.420000
10125	1.664200
10150	1.389400
10175	1.648100
10200	1.256100
10225	1.603400
10250	1.300800
10275	1.637800
10300	1.306000
10325	1.655300
10350	1.298300
10375	1.636100
10400	1.273300
10425	1.632300
10450	1.292600
10475	1.616500
10500	1.345200
10525	1.596700
10550	1.368700
10575	1.644100
10600	1.264700
10625	1.661200
10650	1.311000
10675	1.604200
10700	1.286000
10725	1.611000
10750	1.264300
10775	1.687700
10800	1.332800
10825	1.666200
10850	1.355900
10875	1.672100
10900	1.326900
10925	1.646600
10950	1.336000
10975	1.598000
11000	1.252100
11025	1.644900
11050	1.381700
11075	1.679200
11100	1.324400
11125	1.643300
11150	1.322200
11175	1.672800
11200	1.302700
11225	1.657700
11250	1.294300
11275	1.611500
11300	1.328500
11325	1.650800
11350	1.336500
11375	1.675300
11400	1.314800
11425	1.620000
11450	1.332500
11475	1.622800
11500	1.270100
11525	1.614300
11550	1.305800
11575	1.556300
11600	1.338400
11625	1.649000
11650	1.211400
11675	1.597900
11700	1.340700
11725	1.606800
11750	1.355200
11775	1.681900
11800	1.381300
11825	1.607100
11850	1.306500
11875	1.663800
11900	1.307400
11925	1.612200
11950	1.328300
11975	1.609800
12000	1.363200
12025	1.641300
12050	1.373700
12075	1.638700
