
Step	Training Loss
25	4.680600
50	4.317000
75	4.588600
100	4.209100
125	4.425000
150	4.004200
175	4.153700
200	3.333900
225	3.491100
250	2.349300
275	3.104600
300	2.032600
325	2.865900
350	1.861000
375	2.892800
400	1.968600
425	2.851900
450	1.939600
475	2.814600
500	1.909600
525	2.779100
550	1.760200
575	2.767600
600	1.853000
625	2.747000
650	1.822200
675	2.770900
700	1.716600
725	2.587500
750	1.710100
775	2.720500
800	1.949500
825	2.725400
850	1.733500
875	2.724800
900	1.850400
925	2.644600
950	1.706500
975	2.592600
1000	1.760400
1025	2.651000
1050	1.674200
1075	2.715000
1100	1.718800
1125	2.634600
1150	1.649600
1175	2.650600
1200	1.694500
1225	2.591400
1250	1.623600
1275	2.554800
1300	1.574100
1325	2.727000
1350	1.780800
1375	2.568600
1400	1.514900
1425	2.549000
1450	1.626300
1475	2.690400
1500	1.715400
1525	2.606200
1550	1.627500
1575	2.574800
1600	1.658500
1625	2.623100
1650	1.609200
1675	2.472000
1700	1.478100
1725	2.495600
1750	1.662400
1775	2.635000
1800	1.595700
1825	2.551700
1850	1.583300
1875	2.723300
1900	1.568600
1925	2.476100
1950	1.555000
1975	2.521700
2000	1.675500
2025	2.618000
2050	1.498100
2075	2.477300
2100	1.483700
2125	2.596000
2150	1.681100
2175	2.526900
2200	1.527900
2225	2.495800
2250	1.609000
2275	2.562100
2300	1.596200
2325	2.544000
2350	1.779200
2375	2.595600
2400	1.840400
2425	2.563300
2450	1.540400
2475	2.694800
2500	1.527300
2525	2.504500
2550	1.650400
2575	2.588700
2600	1.756100
2625	2.481700
2650	1.529700
2675	2.470400
2700	1.347200
2725	2.591200
2750	1.693000
2775	2.634000
2800	1.571800
2825	2.586500
2850	1.654400
2875	2.438000
2900	1.534700
2925	2.543800
2950	1.659100
2975	2.532700
3000	1.382000
3025	2.444400
3050	1.531200
3075	2.477400
3100	1.663800
3125	2.535800
3150	1.540300
3175	2.540800
3200	1.490300
3225	2.593200
3250	1.661500
3275	2.539700
3300	1.443400
3325	2.527800
3350	1.550800
3375	2.489600
3400	1.587900
3425	2.496300
3450	1.730600
3475	2.472100
3500	1.680800
3525	2.481400
3550	1.582700
3575	2.507600
3600	1.580700
3625	2.568200
3650	1.665000
3675	2.473600
3700	1.578300
3725	2.442800
3750	1.409200
3775	2.433500
3800	1.574100
3825	2.464200
3850	1.515900
3875	2.528900
3900	1.602300
3925	2.470700
3950	1.533700
3975	2.619400
4000	1.636500
4025	2.524800
4050	1.488500
4075	2.624500
4100	1.640600
4125	2.525200
4150	1.616700
4175	2.533900
4200	1.429000
4225	2.536600
4250	1.532600
4275	2.566100
4300	1.585200
4325	2.488300
4350	1.559400
4375	2.435700
4400	1.544800
4425	2.534900
4450	1.607900
4475	2.567300
4500	1.448200
4525	2.544100
4550	1.514000
4575	2.498100
4600	1.663800
4625	2.422200
4650	1.414400
4675	2.502600
4700	1.480300
4725	2.553300
4750	1.514400
4775	2.451800
4800	1.548800
4825	2.462900
4850	1.539800
4875	2.452900
4900	1.564600
4925	2.479000
4950	1.494300
4975	2.411000
5000	1.582600
5025	2.592900
5050	1.368000
5075	2.525400
5100	1.479200
5125	2.484000
5150	1.572200
5175	2.438900
5200	1.552800
5225	2.512000
5250	1.584600
5275	2.424200
5300	1.468200
5325	2.571300
5350	1.549200
5375	2.479900
5400	1.560500
5425	2.467200
5450	1.467400
5475	2.563800
5500	1.496200
5525	2.483700
5550	1.612300
5575	2.466200
5600	1.525900
5625	2.535800
5650	1.397100
5675	2.392200
5700	1.394700
5725	2.508000
5750	1.584900
5775	2.505200
5800	1.764200
5825	2.421400
5850	1.373500
5875	2.394100
5900	1.575000
5925	2.474800
5950	1.557000
5975	2.464200
6000	1.524300
6025	2.498800
6050	1.478100
6075	2.492300
6100	1.499100
6125	2.471400
6150	1.508100
6175	2.591300
6200	1.609600
6225	2.461200
6250	1.407000
6275	2.554000
6300	1.570100
6325	2.440000
6350	1.523800
6375	2.546100
6400	1.602300
6425	2.479300
6450	1.568300
6475	2.454900
6500	1.557500
6525	2.413400
6550	1.353100
6575	2.488100
6600	1.526000
6625	2.452100
6650	1.627200
6675	2.465900
6700	1.666600
6725	2.351000
6750	1.436000
6775	2.491500
6800	1.602300
6825	2.484400
6850	1.427400
6875	2.455200
6900	1.493600
6925	2.502800
6950	1.566100
6975	2.429000
7000	1.378700
7025	2.393600
7050	1.608100
7075	2.471100
7100	1.520300
7125	2.404900
7150	1.518700
7175	2.426600
7200	1.574600
7225	2.464900
7250	1.552700
7275	2.378800
7300	1.490800
7325	2.492500
7350	1.499100
7375	2.526600
7400	1.583500
7425	2.547700
7450	1.562800
7475	2.408600
7500	1.420800
7525	2.476300
7550	1.610800
7575	2.325900
7600	1.459600
7625	2.517000
7650	1.459100
7675	2.518400
7700	1.570100
7725	2.474800
7750	1.618200
7775	2.509300
7800	1.567500
7825	2.487200
7850	1.607500
7875	2.477000
7900	1.509700
7925	2.415600
7950	1.549800
7975	2.463500
8000	1.403400
8025	2.435000
8050	1.646400
8075	2.475700
8100	1.442700
8125	2.430100
8150	1.740600
8175	2.493000
8200	1.403700
8225	2.333300
8250	1.583000
8275	2.438600
8300	1.531500
8325	2.430500
8350	1.340700
8375	2.430600
8400	1.409900
8425	2.513900
8450	1.667200
8475	2.443400
8500	1.522900
8525	2.530500
8550	1.599900
8575	2.341700
8600	1.394300
8625	2.338300
8650	1.322800
8675	2.374100
8700	1.542700
8725	2.548600
8750	1.644800
8775	2.401300
8800	1.496000
8825	2.564500
8850	1.533200
8875	2.485500
8900	1.556800
8925	2.427500
8950	1.496700
8975	2.408200
9000	1.529600
9025	2.453600
9050	1.450700
9075	2.510300
9100	1.617000
9125	2.452000
9150	1.369500
9175	2.497700
9200	1.650800
9225	2.474300
9250	1.450200
9275	2.407300
9300	1.353400
9325	2.366000
9350	1.402200
9375	2.570100
9400	1.453900
9425	2.447500
9450	1.511900
9475	2.505700
9500	1.612700
9525	2.539600
9550	1.544600
9575	2.444000
9600	1.624800
9625	2.564300
9650	1.652200
9675	2.477100
9700	1.482700
9725	2.460200
9750	1.425400
9775	2.475900
9800	1.516900
9825	2.418800
9850	1.386000
9875	2.516500
9900	1.652400
9925	2.423900
9950	1.552800
9975	2.441100
10000	1.462400
10025	2.447400
10050	1.696900
10075	2.464800
10100	1.471700
10125	2.481400
10150	1.469200
10175	2.429300
10200	1.513000
10225	2.334100
10250	1.433900
10275	2.448700
10300	1.475700
10325	2.384800
10350	1.458300
10375	2.411400
10400	1.536200
10425	2.445600
10450	1.549300
10475	2.433100
10500	1.507300
10525	2.528800
10550	1.521400
10575	2.452900
10600	1.332500
10625	2.446600
10650	1.511400
10675	2.437200
10700	1.577800
10725	2.526500
10750	1.476200
10775	2.480700
10800	1.540900
10825	2.501400
10850	1.552000
10875	2.505500
10900	1.603300
10925	2.392400
10950	1.585200
10975	2.367400
11000	1.446000
11025	2.364600
11050	1.609600
11075	2.415700
11100	1.535800
11125	2.427600
11150	1.712000
11175	2.472600
11200	1.460900
11225	2.407200
11250	1.539300
11275	2.495300
11300	1.360300
11325	2.379700
11350	1.587000
11375	2.499900
11400	1.431000
11425	2.400000
11450	1.492300
11475	2.388100
11500	1.428600
11525	2.488900
11550	1.537900
11575	2.436100
11600	1.496600
11625	2.445000
11650	1.508600
11675	2.506900
11700	1.565900
11725	2.425600
11750	1.600000
11775	2.326300
11800	1.356300
11825	2.426300
11850	1.468200
11875	2.479200
11900	1.456000
11925	2.394600
11950	1.392100
11975	2.442600
12000	1.398900
12025	2.454100
12050	1.580400
12075	2.396300
12100	1.508400
12125	2.387200
12150	1.552000
12175	2.411000
12200	1.492600
12225	2.540400
12250	1.617800
12275	2.454100
12300	1.512100
12325	2.450900
12350	1.513900
12375	2.457300
12400	1.591400
12425	2.503900
12450	1.559400
12475	2.473800
12500	1.566600
12525	2.474900
12550	1.645300
12575	2.327500
12600	1.524700
12625	2.443500
12650	1.555700
12675	2.423100
12700	1.459500
12725	2.447900
12750	1.487800
12775	2.446300
12800	1.529100
12825	2.396800
12850	1.392500
12875	2.458300
12900	1.527900
12925	2.540800
12950	1.562600
12975	2.373100
13000	1.472900
13025	2.448900
13050	1.485800
13075	2.387300
13100	1.531800
13125	2.364200
13150	1.572200
13175	2.520300
13200	1.591600
13225	2.509100
13250	1.729800
13275	2.425400
13300	1.368100
13325	2.505000
13350	1.735200
13375	2.497000
13400	1.459600
13425	2.304600
13450	1.425900
13475	2.351400
13500	1.329600
13525	2.469600
13550	1.449500
13575	2.459600
13600	1.556500
13625	2.508700
13650	1.566900
13675	2.391700
13700	1.392700
13725	2.372900
13750	1.463400
13775	2.368800
13800	1.480700
13825	2.386900
13850	1.568400
13875	2.440000
13900	1.542600
13925	2.424300
13950	1.555500
13975	2.387800
14000	1.323600
14025	2.384300
14050	1.470100
14075	2.462300
14100	1.609400
14125	2.400400
