Step	Training Loss
25	2.705600
50	3.142000
75	2.758700
100	3.163600
125	2.731800
150	2.907700
175	2.473400
200	2.284500
225	2.052100
250	1.593800
275	1.881800
300	1.525700
325	1.851700
350	1.435700
375	1.832300
400	1.500100
425	1.871800
450	1.500200
475	1.790300
500	1.460700
525	1.781400
550	1.398900
575	1.823800
600	1.470000
625	1.827500
650	1.385300
675	1.759700
700	1.374200
725	1.726400
750	1.360000
775	1.757000
800	1.455100
825	1.807800
850	1.341900
875	1.787900
900	1.364600
925	1.738700
950	1.315000
975	1.757900
1000	1.395400
1025	1.716700
1050	1.304500
1075	1.800300
1100	1.393700
1125	1.710800
1150	1.339500
1175	1.750600
1200	1.349300
1225	1.783200
1250	1.318500
1275	1.762800
1300	1.303800
1325	1.799800
1350	1.355300
1375	1.713400
1400	1.283800
1425	1.703500
1450	1.318500
1475	1.776300
1500	1.397400
1525	1.727200
1550	1.290500
1575	1.704800
1600	1.395900
1625	1.782500
1650	1.290300
1675	1.681200
1700	1.264100
1725	1.697000
1750	1.328200
1775	1.796500
1800	1.318100
1825	1.715900
1850	1.273900
1875	1.817000
1900	1.300300
1925	1.700300
1950	1.302700
1975	1.697900
2000	1.351300
2025	1.764300
2050	1.238300
2075	1.669400
2100	1.249600
2125	1.782700
2150	1.349700
2175	1.726500
2200	1.270300
2225	1.745400
2250	1.317500
2275	1.713800
2300	1.333400
2325	1.715600
2350	1.386500
2375	1.761100
2400	1.447200
2425	1.755300
2450	1.285400
2475	1.828900
2500	1.260300
2525	1.684900
2550	1.289200
2575	1.781100
2600	1.451400
2625	1.702400
2650	1.284900
2675	1.706200
2700	1.139800
2725	1.749200
2750	1.349600
2775	1.769000
2800	1.283700
2825	1.742000
2850	1.357300
2875	1.738700
2900	1.271100
2925	1.755400
2950	1.318600
2975	1.741400
3000	1.170500
3025	1.701100
3050	1.246600
3075	1.725100
3100	1.369000
3125	1.779800
3150	1.292400
3175	1.716800
3200	1.291100
3225	1.778100
3250	1.314100
3275	1.704400
3300	1.236400
3325	1.757300
3350	1.306200
3375	1.706000
3400	1.325500
3425	1.709600
3450	1.390000
3475	1.710500
3500	1.378700
3525	1.718400
3550	1.272600
3575	1.707500
3600	1.295600
3625	1.739600
3650	1.315800
3675	1.736400
3700	1.304200
3725	1.705900
3750	1.198600
3775	1.675200
3800	1.303400
3825	1.733000
3850	1.299000
3875	1.716100
3900	1.358200
3925	1.765000
3950	1.254000
3975	1.775400
4000	1.352300
4025	1.752400
4050	1.271000
4075	1.755200
4100	1.332000
4125	1.772000
4150	1.345200
4175	1.764800
4200	1.250200
4225	1.780800
4250	1.266100
4275	1.768100
4300	1.291400
4325	1.731400
4350	1.293500
4375	1.686900
4400	1.332800
4425	1.722800
4450	1.288500
4475	1.759600
4500	1.287000
4525	1.718400
4550	1.270800
4575	1.746100
4600	1.316500
4625	1.685700
4650	1.225600
4675	1.716900
4700	1.253300
4725	1.784200
4750	1.300900
4775	1.703500
4800	1.289900
4825	1.744400
4850	1.271200
4875	1.688400
4900	1.295400
4925	1.807100
4950	1.276100
4975	1.711400
5000	1.350600
5025	1.768900
5050	1.211100
5075	1.721900
5100	1.268800
5125	1.694300
5150	1.309400
5175	1.723500
5200	1.303000
5225	1.737500
5250	1.272000
5275	1.705000
5300	1.306100
5325	1.769700
5350	1.315300
5375	1.716300
5400	1.282800
5425	1.809000
5450	1.298500
5475	1.775200
5500	1.281100
5525	1.743100
5550	1.322000
5575	1.708800
5600	1.253400
5625	1.767800
5650	1.243300
5675	1.688500
5700	1.218100
5725	1.720100
5750	1.293100
5775	1.745000
5800	1.448300
5825	1.669900
5850	1.201800
5875	1.658900
5900	1.304400
5925	1.734000
5950	1.289400
5975	1.674100
6000	1.261500
6025	1.756900
6050	1.275000
6075	1.739200
6100	1.254100
6125	1.767100
6150	1.284100
6175	1.736500
6200	1.348800
6225	1.721100
6250	1.236200
6275	1.756000
6300	1.319200
6325	1.685100
6350	1.303000
6375	1.773300
6400	1.308400
6425	1.678300
6450	1.309100
6475	1.737500
6500	1.284800
6525	1.666600
6550	1.168500
6575	1.731200
6600	1.353000
6625	1.703200
6650	1.351200
6675	1.714200
6700	1.399200
6725	1.690000
6750	1.258300
6775	1.691300
6800	1.411000
6825	1.752300
6850	1.208700
6875	1.704100
6900	1.274700
6925	1.760000
6950	1.288800
6975	1.722400
7000	1.179800
7025	1.667000
7050	1.366000
7075	1.704600
7100	1.274900
7125	1.657500
7150	1.269900
7175	1.722100
7200	1.277100
7225	1.715600
7250	1.330200
7275	1.660200
7300	1.249700
7325	1.718300
7350	1.267300
7375	1.774700
7400	1.316800
7425	1.773000
7450	1.296000
7475	1.693900
7500	1.206400
7525	1.800900
7550	1.371600
7575	1.649400
7600	1.230500
7625	1.739900
7650	1.259500
7675	1.735700
7700	1.300300
7725	1.770500
7750	1.365500
7775	1.777100
7800	1.289100
7825	1.736800
7850	1.311400
7875	1.749800
7900	1.302000
7925	1.744600
7950	1.268100
7975	1.722400
8000	1.199000
8025	1.723200
8050	1.324600
8075	1.703100
8100	1.235600
8125	1.686900
8150	1.416700
8175	1.720100
8200	1.165200
8225	1.692000
8250	1.332200
8275	1.688100
8300	1.271200
8325	1.747100
8350	1.179700
8375	1.709500
8400	1.240200
8425	1.746200
8450	1.364800
8475	1.754300
8500	1.275300
8525	1.707500
8550	1.340100
8575	1.673900
8600	1.255900
8625	1.630000
8650	1.183700
8675	1.708400
8700	1.253100
8725	1.740900
8750	1.349300
8775	1.705700
8800	1.279100
8825	1.812800
8850	1.289000
8875	1.739400
8900	1.303400
8925	1.685400
8950	1.284800
8975	1.712700
9000	1.306900
9025	1.761900
9050	1.257400
9075	1.742300
9100	1.312600
9125	1.746000
9150	1.207200
9175	1.740100
9200	1.386500
9225	1.724200
9250	1.248700
9275	1.712000
9300	1.171100
9325	1.632100
9350	1.213500
9375	1.769000
9400	1.240900
9425	1.679300
9450	1.282400
9475	1.742300
9500	1.362500
9525	1.756500
9550	1.295400
9575	1.729200
9600	1.337100
9625	1.765700
9650	1.344300
9675	1.776200
9700	1.240700
9725	1.731300
9750	1.212300
9775	1.732100
9800	1.244900
9825	1.722000
9850	1.187200
9875	1.798900
9900	1.375300
9925	1.731900
9950	1.319700
9975	1.731100
10000	1.265800
10025	1.702900
10050	1.416200
10075	1.713100
10100	1.245200
10125	1.731000
10150	1.246200
10175	1.694100
10200	1.288900
10225	1.673000
10250	1.261700
10275	1.693300
10300	1.280300
10325	1.687300
10350	1.234200
10375	1.699400
10400	1.322600
10425	1.701300
10450	1.279600
10475	1.662800
10500	1.265800
10525	1.822600
10550	1.271600
10575	1.736600
10600	1.201900
10625	1.715100
10650	1.280100
10675	1.702800
10700	1.300400
10725	1.711000
10750	1.224100
10775	1.726700
10800	1.336900
10825	1.749500
10850	1.323700
10875	1.777600
10900	1.335300
10925	1.690800
10950	1.308000
10975	1.680900
11000	1.264600
11025	1.727900
11050	1.298200
11075	1.726300
11100	1.251400
11125	1.661200
11150	1.380000
11175	1.744400
11200	1.227200
11225	1.711600
11250	1.295500
11275	1.752000
11300	1.175600
11325	1.671200
11350	1.321200
11375	1.745700
11400	1.191900
11425	1.705000
11450	1.264200
11475	1.664700
11500	1.227800
11525	1.752800
11550	1.280100
11575	1.713100
11600	1.263200
11625	1.723800
11650	1.288900
11675	1.719200
11700	1.327800
11725	1.747100
11750	1.321500
11775	1.664700
11800	1.152500
11825	1.717100
11850	1.244900
11875	1.715300
11900	1.248100
11925	1.707500
11950	1.219700
11975	1.705100
12000	1.206500
12025	1.700600
12050	1.318100
12075	1.717600
12100	1.264000
12125	1.711200
12150	1.308600
12175	1.647900
12200	1.294700
12225	1.787500
12250	1.339600
12275	1.731600
12300	1.268100
12325	1.696100
12350	1.268700
12375	1.729500
12400	1.307700
12425	1.767000
12450	1.338900
12475	1.725800
12500	1.309200
12525	1.754300
12550	1.337000
12575	1.667900
12600	1.247500
12625	1.713000
12650	1.305000
12675	1.738300
12700	1.264900
12725	1.765900
12750	1.270800
12775	1.748900
12800	1.291500
12825	1.723100
12850	1.220600
12875	1.767300
12900	1.255700
12925	1.754900
12950	1.346400
12975	1.694400
13000	1.278300
13025	1.730700
13050	1.298900
13075	1.699600
13100	1.304700
13125	1.658100
13150	1.335800
13175	1.761300
13200	1.368900
13225	1.725200
13250	1.334100
13275	1.695200
13300	1.194000
13325	1.762600
13350	1.417300
13375	1.755100
13400	1.245100
13425	1.638500
13450	1.225700
13475	1.728600
13500	1.178300
13525	1.706700
13550	1.262700
13575	1.721700
13600	1.320700
13625	1.752400
13650	1.272900
13675	1.702900
13700	1.227300
13725	1.654400
13750	1.275700
13775	1.666700
13800	1.301800
13825	1.683300
13850	1.326600
13875	1.767000
13900	1.322100
13925	1.667900
13950	1.309000
13975	1.697000
14000	1.158500
14025	1.683500
14050	1.266800
14075	1.709600
14100	1.318300
14125	1.668400
14150	1.311900
14175	1.725700
14200	1.354600
14225	1.650100
14250	1.320100
14275	1.728500
14300	1.233700
14325	1.763100
14350	1.266500
14375	1.745000
14400	1.381700
14425	1.743600
14450	1.280600
14475	1.693600
14500	1.303700
14525	1.739200
14550	1.382500
14575	1.722200
14600	1.222800
14625	1.695000
14650	1.161100
14675	1.765000
14700	1.207200
14725	1.739400
14750	1.303900
14775	1.677900
14800	1.356700
14825	1.666300
14850	1.137500
14875	1.718600
14900	1.371100
14925	1.722900
14950	1.264800
14975	1.710600
15000	1.212900
15025	1.667000
15050	1.331200
15075	1.795100
15100	1.304500
15125	1.760200
15150	1.369100
15175	1.723300
15200	1.326800
15225	1.729000
15250	1.233100
15275	1.716400
15300	1.228600
15325	1.654200
15350	1.220200
15375	1.711400
15400	1.320900
15425	1.678500
15450	1.214800
15475	1.737400
15500	1.237800
15525	1.737700
15550	1.275700
15575	1.675600
15600	1.233400
15625	1.683700
15650	1.268900
15675	1.670500
15700	1.253100
15725	1.709000
15750	1.294500
15775	1.676300
15800	1.371300
15825	1.667000
15850	1.235800
15875	1.716400
15900	1.218300
15925	1.743000
15950	1.228200
15975	1.682900
16000	1.282700
16025	1.687600
16050	1.249600
16075	1.670800
16100	1.236900
16125	1.772700
16150	1.222300
16175	1.703200
16200	1.289800
16225	1.770800
16250	1.361700
16275	1.731800
16300	1.252800
16325	1.748100
16350	1.269700
16375	1.728100
16400	1.275500
16425	1.648600
16450	1.259800
16475	1.661800
16500	1.224500
16525	1.709400
16550	1.327100
16575	1.750100
16600	1.342500
16625	1.708100
16650	1.282800
16675	1.749700
16700	1.346400
16725	1.684500
16750	1.240700
16775	1.739500
16800	1.280800
16825	1.721600
16850	1.244800
16875	1.673100
16900	1.259600
16925	1.703500
16950	1.287900
16975	1.746500
17000	1.318700
17025	1.704400
17050	1.232400
17075	1.747200
17100	1.297100
17125	1.670700
17150	1.331500
17175	1.684600
17200	1.241000
17225	1.681600
17250	1.226800
17275	1.690200
17300	1.255600
17325	1.642900
17350	1.220600
17375	1.627600
17400	1.309200
17425	1.719500
17450	1.179400
17475	1.663200
17500	1.224400
17525	1.676300
17550	1.314600
17575	1.678100
17600	1.328400
17625	1.732700
17650	1.330500
17675	1.765300
17700	1.341100
17725	1.697300
17750	1.270100
17775	1.677800
17800	1.239900
17825	1.740200
17850	1.298000
17875	1.662400
17900	1.301600
17925	1.669600
17950	1.183800
17975	1.697900
18000	1.398800
18025	1.697600
18050	1.361000
18075	1.664200
18100	1.275800
18125	1.767500
18150	1.144500
18175	1.745400
18200	1.221100
18225	1.650700
18250	1.263900
18275	1.709800
18300	1.204800
18325	1.730600
18350	1.241300
18375	1.749100
18400	1.386600
18425	1.757200
18450	1.388400
18475	1.650200
18500	1.236500
18525	1.736500
18550	1.292800
18575	1.720100
18600	1.253400
18625	1.707900
18650	1.289900
18675	1.776400
18700	1.322100
18725	1.696300
18750	1.265700
18775	1.729400
18800	1.303600
18825	1.773700
18850	1.313600
18875	1.660900
18900	1.148300
18925	1.724400
18950	1.325700
18975	1.652900
19000	1.257800
19025	1.717800
19050	1.297600
19075	1.746600
19100	1.283200
19125	1.738800
19150	1.465700
19175	1.660600
19200	1.294000
19225	1.663800
19250	1.269300
19275	1.679800
19300	1.175900
19325	1.755900
19350	1.343200
19375	1.739300
19400	1.323800
19425	1.772600
19450	1.231000
19475	1.716500
19500	1.257900
19525	1.803600
19550	1.287300
19575	1.685300
19600	1.323800
19625	1.721200
19650	1.302300
19675	1.653300
19700	1.181000
19725	1.672700
19750	1.269600
19775	1.742100
19800	1.335000
19825	1.675000
19850	1.302500
19875	1.689100
19900	1.267500
19925	1.691300
19950	1.289800
19975	1.676300
20000	1.299000
20025	1.603700
20050	1.208300
20075	1.775000
20100	1.163400
20125	1.674700
20150	1.301100
20175	1.745200
20200	1.295700
20225	1.696100
20250	1.293300
20275	1.776500
20300	1.283500
20325	1.658300
20350	1.372900
20375	1.754800
20400	1.237000
20425	1.649400
20450	1.319000
20475	1.731400
20500	1.360300
20525	1.696000
20550	1.259700
20575	1.721900
20600	1.260300
20625	1.734800
20650	1.343000
20675	1.697200
20700	1.190900
20725	1.664600
20750	1.175000
20775	1.684100
20800	1.247800
20825	1.739900
20850	1.417900
20875	1.728800
20900	1.257800
20925	1.735300
20950	1.289700
20975	1.782600
21000	1.257400
21025	1.662400
21050	1.183700
21075	1.700600
21100	1.284000
21125	1.655300
21150	1.186400
21175	1.709300
21200	1.302600
21225	1.694200
21250	1.241300
21275	1.722300
21300	1.214900
21325	1.737900
21350	1.287800
21375	1.629100
21400	1.180000
21425	1.755400
21450	1.338000
21475	1.636200
21500	1.338600
21525	1.738300
21550	1.334400
21575	1.782000
21600	1.273000
21625	1.683800
21650	1.252800
21675	1.699400
21700	1.214200
21725	1.724000
21750	1.239500
21775	1.685000
21800	1.321500
21825	1.784200
21850	1.322000
21875	1.719700
21900	1.179700
21925	1.673400
21950	1.214500
21975	1.706500
22000	1.255100
22025	1.651300
22050	1.164200
22075	1.733100
22100	1.267900
22125	1.660700
22150	1.296700
22175	1.741600
22200	1.296400
22225	1.701400
